0 0
-294 -280
-363 -350
-309 -252
-289 -298
-321 -319
-298 -299
-254 -322
-309 -311
-309 -312
-317 -309
-310 -309
-315 -315
-311 -310
-316 -243
-241 -297
-318 -319
-301 -311
-315 -312
-309 -242
-309 -313
-310 -304
-317 -314
-313 -313
-305 -309
-316 -311
-312 -313
-311 -250
-244 -305
-311 -312
-311 -243
-309 -234
-314 -307
-305 -307
-317 -315
-236 -237
-310 -310
-317 -312
-230 -246
-265 -324
-312 -315
-313 -310
-311 -312
-310 -240
-309 -301
-239 -312
-322 -246
-311 -316
-312 -305
-314 -310
-315 -312
-314 -318
-304 -315
-305 -309
-326 -322
-240 -308
-298 -233
-248 -316
-308 -305
-313 -320
-236 -307
-308 -310
-323 -312
-315 -235
-307 -312
-250 -315
-309 -317
-314 -305
-317 -313
-310 -305
-319 -244
-313 -251
-313 -309
-312 -315
-242 -301
-320 -311
-307 -309
-298 -296
-327 -321
-310 -308
-311 -302
-313 -316
-307 -309
-314 -318
-318 -236
-308 -303
-321 -325
-311 -309
-301 -301
-238 -248
-317 -304
-307 -303
-317 -322
-255 -256
-172 -126
-97 -81
-42 -36
0 -14
0 0
0 0
